Samples, Lagrange infinity norm, Neural network infinity norm, Loss
2, 0, 0.08004355430603027, 0.000730383035261184
4, 0, 0.022602856159210205, 6.282331810325559e-08
6, 0, 0.023700475692749023, 1.4138741176103475e-12
8, 0, 0.02540498971939087, 1.8688207177510602e-13
12, 0, 0.03918004035949707, 1.4400546727300068e-11
16, 0, 0.06572860479354858, 4.828772104392698e-11
20, 0, 0.03728806972503662, 1.5325266012819472e-12
24, 0, 0.022275805473327637, 7.247430086620987e-12
32, 0, 0.023597240447998047, 4.971478784199235e-11
40, 0, 0.023463726043701172, 1.8161456713516877e-11
48, 0, 0.022845923900604248, 1.3826061606367346e-12
60, 0, 0.031382858753204346, 1.4873506072599074e-12
100, 0, 0.046625614166259766, 1.6180327910841896e-10
150, 0, 0.030454814434051514, 1.3651337005260444e-10
300, 0, 0.02268505096435547, 3.3545349831243243e-10
999, 0, 0.03675311803817749, 1.1816588506297077e-11
