Samples, Lagrange infinity norm, Neural network infinity norm, Loss
6, 0, 0.023682892322540283, 9.844400988834323e-11
8, 0, 0.025308966636657715, 9.95961715877236e-11
12, 0, 0.0387725830078125, 9.990905325274468e-11
16, 0, 0.06503850221633911, 9.859959376745664e-11
20, 0, 0.03598785400390625, 9.95986557117412e-11
24, 0, 0.022363245487213135, 9.732046418742257e-11
32, 0, 0.02410668134689331, 9.823424018673421e-11
40, 0, 0.023671984672546387, 9.661101085800539e-11
48, 0, 0.023117244243621826, 9.886167579020722e-11
60, 0, 0.032948315143585205, 9.742018997060953e-11
100, 0, 0.04682105779647827, 9.850254639731659e-11
150, 0, 0.030066251754760742, 9.990111515811861e-11
200, 0, 0.030895531177520752, 9.956146324041626e-11
300, 0, 0.02146095037460327, 9.739391237939543e-11
999, 0, 0.03709167242050171, 9.702365993957685e-11
