Samples, Lagrange infinity norm, Neural network infinity norm, Loss
2, 0.9999999999987662, 1.0110280513763428, 1.4773293875006488e-20
4, 0.2553554693866844, 0.6037648320198059, 4.383727115439854e-15
6, 0.02675519525536879, 0.03615063428878784, 9.289130811665318e-16
8, 0.001695754819486528, 0.010507941246032715, 5.282527751815022e-14
12, 2.2133698444337657e-06, 0.008072048425674438, 9.315453098679427e-06
16, 9.217144963935553e-10, 0.007323503494262695, 1.0005896001530346e-05
20, 1.3550202626610997e-12, 0.006934523582458496, 9.93083722278243e-06
24, 1.496770762887678e-11, 0.006675392389297485, 9.703996511234436e-06
32, 0, 0.001410841941833496, 5.207792810324463e-07
40, 0, 0.0014809091808274388, 5.530295084099635e-07
48, 0, 0.0016377290012314916, 5.156907150194456e-07
